file,recovery,drop
088b59d5-d011-47ca-8738-f46683596220,[],[]
09bc865d-589e-4fcc-9b7e-4ac674a390dd,"[[2262.028056, 2287.573889], [4743.660833, 4752.627778]]","[[2340.0725, 2356.323611]]"
13850102-9e0e-4e3a-842c-00b993d62045,[],[]
15ed4c6f-686e-4b60-97ea-ed55a1f00ce9,"[[3288.448611, 3316.098333], [4699.431667, 4705.091944]]","[[3479.762222, 3488.953333]]"
164abd51-13d5-4a6f-9841-46d82937e377,"[[19921.095278, 20000.852778], [20465.309167, 20525.916111]]","[[20566.518611, 20601.376389]]"
17859c48-3b19-48d6-a79b-793390e70803,[],[]
1896a0c8-8130-472e-ba6f-9dcfed363dce,"[[764.998889, 847.030833]]","[[1983.999722, 2014.671944], [5017.801111, 5033.347778]]"
1c0e8d10-ba4a-499f-8159-bde6dc70b1c8,[],"[[2492.033889, 2876.033889]]"
1c9db047-e335-46ac-8039-effd8589b25b,"[[330.138333, 359.901944], [2345.649444, 2409.917778], [8546.558333, 8555.871389]]",[]
1cbce6e5-9f0b-419f-9527-7add4e255217,"[[3205.470833, 3236.423611]]",[]
21159492-d8fd-4f36-b482-6e5dccdf11a6,"[[3279.818611, 3350.149167]]","[[3609.849444, 3640.461944]]"
2c0617b6-c11e-4c96-bd35-1efd2d5a7730,"[[2419.575556, 2449.163889]]","[[3498.456667, 3541.823056]]"
30a70201-c4ce-459a-b392-62daaeafd97d,[],[]
31210932-757a-44c9-ad24-e4d44bb7344b,"[[2420.604444, 2455.3575]]","[[3499.585, 3529.324444]]"
3da1f16c-3e38-457e-8c5c-a5653f5d7a1d,[],[]
4222e5c2-7a87-409d-b55f-75db4c482f00,"[[2371.243056, 2517.068333]]",[]
42a6cefb-1e17-4c8f-b5dd-5cc5d9fe0526,"[[2438.291667, 2498.136111]]","[[2849.501667, 2888.309722], [3448.131667, 3510.550278]]"
4383de67-ff8a-4822-a2ef-133c24b3631c,"[[13928.075556, 13939.967778]]","[[3499.188056, 3520.960278]]"
46c4657d-5d3d-4282-87a8-0c9c053e598e,"[[179.661111, 212.890556]]",[]
4b144e52-3d8f-4c8b-82a0-a1e9725794a9,[],[]
4e8d1307-8689-45c8-b7ab-69c63f00ff55,"[[2650.113889, 2694.093611], [3425.831111, 3558.231944], [9533.206389, 9590.689722], [12061.785278, 12115.156389]]","[[10767.391111, 10825.351944], [12396.173333, 12435.829722]]"
4f6cb554-2580-432b-9060-76102d07fdb9,"[[1335.548333, 1354.953333]]","[[1534.215833, 1551.407222], [2809.211944, 5761.211944]]"
5795fed1-df25-48e6-91cc-b374bbbee1aa,"[[174.240833, 214.212222], [3882.095556, 3937.039444], [4365.585, 4396.2575], [7022.146111, 7037.204722], [8453.891667, 8473.472222]]",[]
5dbc4812-135e-4e6b-9a14-e2cde50489f5,"[[3735.397778, 3814.411389], [8545.396667, 8563.3925], [11459.020833, 11476.378056], [15968.179167, 15982.717222], [16898.108333, 16985.546111]]","[[17011.240278, 17043.2525]]"
6067f320-345a-442a-b546-660103093ca1,"[[1704.992778, 1744.161111]]","[[1824.715278, 1873.838889]]"
627507d6-b21b-4a3e-9118-768d2ee3d81e,"[[3167.659167, 3182.338611]]",[]
62ace5dd-525c-4a7a-9463-080e8abef19d,[],[]
63cd28dc-ded4-4aca-8f10-09d76be673d1,"[[10559.501944, 10585.226667]]",[]
6951f347-3d7a-42fd-8668-d24c6853c23a,"[[2367.313889, 2575.512222]]",[]
69e7e0fa-734a-465a-8de3-829b9b3dee7a,"[[11723.231389, 11798.155556]]",[]
6a6a609a-088c-4853-b129-3c93b5ab95ca,"[[458.095556, 484.971944]]","[[1225.558056, 1235.663333]]"
6b132b91-c5f9-4fd0-b8f0-22d2d9b3fbc1,[],[]
6ce2eacf-3a1e-4622-b288-06228d79fedc,"[[412.517778, 439.143056], [2362.725556, 2399.423611]]",[]
6dbc34fc-4e94-4d56-9cff-2e3087d702ae,"[[156.884444, 268.844722], [8616.061667, 8752.79], [11805.356111, 11862.794722]]","[[12494.543333, 12553.645833]]"
7dc0adee-fbfb-46a0-803d-54275561d1eb,"[[807.7275, 866.675833], [1863.243889, 1896.964167], [3998.077222, 4080.989167], [11180.035833, 11314.909444]]","[[1509.071667, 1535.142778], [4139.826389, 4178.581389], [12259.367222, 12317.868056]]"
7e07c834-456a-4ab2-8779-ab58d2888716,"[[11116.324722, 11164.6275], [11711.685, 11747.755], [15105.8975, 15130.179722]]","[[12266.164722, 12299.474444]]"
837241ab-62c5-437c-a78b-ebecb64b9905,[],[]
8ed3816e-4a3f-41c1-9682-3c0f116827eb,"[[2849.289167, 2861.293611], [3042.511389, 3052.326667], [9090.9375, 9107.373611]]",[]
