file,recovery,drop
088b59d5-d011-47ca-8738-f46683596220,"[[2361.896944, 3273.063333]]","[[3478.374722, 3495.713056]]"
09bc865d-589e-4fcc-9b7e-4ac674a390dd,"[[2233.433333, 2315.322778]]","[[2331.06, 2541.221667]]"
13850102-9e0e-4e3a-842c-00b993d62045,[],"[[2549.910556, 3188.253056]]"
15ed4c6f-686e-4b60-97ea-ed55a1f00ce9,"[[3277.164167, 3475.933056]]","[[1.198333, 93.610833], [3476.440556, 3552.62]]"
164abd51-13d5-4a6f-9841-46d82937e377,"[[5669.782222, 5925.228333], [19903.676667, 19973.403611], [20453.945833, 20546.001944]]","[[5933.880556, 6354.14], [19974.096111, 20263.640556], [20546.696667, 20922.827222]]"
17859c48-3b19-48d6-a79b-793390e70803,[],"[[2.516667, 891.333333]]"
1896a0c8-8130-472e-ba6f-9dcfed363dce,"[[711.07, 1977.554444], [4989.753056, 5005.284444]]","[[1978.11, 2826.83], [5010.008333, 5643.052778]]"
1c0e8d10-ba4a-499f-8159-bde6dc70b1c8,[],"[[0.08, 1104.0]]"
1c9db047-e335-46ac-8039-effd8589b25b,"[[313.651389, 339.637778], [2353.294722, 2382.882778]]","[[339.769444, 492.870278], [2383.083611, 2667.272778]]"
1cbce6e5-9f0b-419f-9527-7add4e255217,"[[3150.776111, 3615.149167]]","[[3615.444167, 3762.561389], [7495.442222, 7597.1025], [8214.583611, 8477.675833]]"
21159492-d8fd-4f36-b482-6e5dccdf11a6,"[[3276.595278, 3537.334167]]","[[3602.774444, 3656.828889]]"
2c0617b6-c11e-4c96-bd35-1efd2d5a7730,"[[2392.509722, 3487.9825], [4684.921111, 5183.328611]]","[[3488.820833, 3693.22], [5183.366944, 5233.76], [8517.979444, 8538.325833]]"
30a70201-c4ce-459a-b392-62daaeafd97d,"[[424.5, 470.833333], [1526.583333, 1579.25]]","[[470.916667, 654.833333], [1581.083333, 1598.75]]"
31210932-757a-44c9-ad24-e4d44bb7344b,"[[2384.013889, 2924.692778], [2992.692778, 3418.876111], [8002.348889, 8124.188611]]","[[3421.219167, 3550.747222], [7854.412222, 7893.622778], [8124.725556, 8386.71]]"
3da1f16c-3e38-457e-8c5c-a5653f5d7a1d,"[[2900.736389, 3278.414444], [3330.429722, 3376.381944], [3469.7725, 3514.934722], [3681.926389, 3726.630278], [4050.918333, 4103.406667], [9815.043889, 10123.918889], [10189.303056, 10275.794444]]","[[5009.787778, 5045.637222], [10078.602222, 10099.270278], [10169.382222, 10188.6675], [10282.808611, 10472.074167]]"
